n,time
6680,29
6690,42
6700,2
6710,18
6720,0
6730,1
6740,50
6750,12
6760,43
6770,28
6780,53
6790,9
6800,27
6810,23
6820,15
6830,40
6840,0
6850,13
6860,1
6870,29
6880,22
6890,9
6900,13
6910,21
6920,0
6930,8
6940,1
6950,5
6960,30
6970,3
6980,11
6990,1
7000,36
7010,1
7020,4
7030,8
7040,2
7050,10
7060,2
7070,56
7080,32
7090,0
7100,2
7110,69
7120,1
7130,17
7140,23
7150,74
7160,5
7170,18
7180,8
7190,1
7200,0
7210,19
7220,11
7230,4
7240,36
7250,1
7260,11
7270,34
7280,1
7290,17
7300,3
7310,6
7320,18
7330,4
7340,12
7350,0
7360,20
7370,1
7380,11
7390,0
7400,34
7410,0
7420,1
7430,12
7440,24
7450,8
7460,5
7470,3
7480,45
7490,21
7500,0
7510,12
7520,55
7530,0
7540,2
7550,2
7560,11
7570,36
7580,0
7590,7
7600,17
7610,4
7620,46
7630,1
7640,34
7650,20
7660,11
7670,25
7680,33
7690,17
7700,25
7710,2
7720,5
7730,16
7740,11
7750,8
7760,14
7770,5
7780,6
7790,5
7800,4
7810,13
7820,37
7830,24
7840,28
7850,18
7860,52
7870,386
7880,11
7890,4
7900,25
7910,24
7920,13
7930,1
7940,5
7950,1
7960,15
7970,1
7980,12
7990,0
8000,1
8010,55
8020,31
8030,14
8040,19
8050,13
8060,4
8070,13
8080,1
8090,22
8100,0
8110,26
8120,1
8130,2
8140,19
8150,3
8160,28
8170,14
8180,13
8190,36
8200,23
8210,6
8220,9
8230,4
8240,5
8250,2
8260,64
8270,21
8280,15
8290,8
8300,24
8310,37
8320,5
8330,6
8340,7
8350,2
8360,2
8370,29
8380,20
8390,1
8400,8
8410,23
8420,8
8430,9
8440,8
8450,5
8460,18
8470,6
8480,5
8490,16
8500,7
8510,5
8520,1
8530,0
8540,6
8550,21
8560,6
8570,5
8580,26
8590,4
8600,25
8610,27
8620,2
8630,2
8640,21
8650,11
8660,2
8670,4
8680,5
8690,13
8700,1860
8710,18
8720,8
8730,1
8740,29
8750,15
8760,35
8770,0
8780,14
8790,8
8800,24
8810,8
8820,79
8830,22
8840,14
8850,17
8860,30
8870,12
8880,10
8890,10
8900,4
8910,16
8920,7
8930,8
8940,1
8950,21
8960,1
8970,32
