n,time
6680,28
6690,32
6700,3
6710,17
6720,0
6730,0
6740,50
6750,8
6760,31
6770,19
6780,40
6790,8
6800,25
6810,25
6820,13
6830,30
6840,0
6850,8
6860,0
6870,23
6880,21
6890,8
6900,13
6910,20
6920,0
6930,8
6940,1
6950,4
6960,23
6970,2
6980,5
6990,0
7000,33
7010,2
7020,3
7030,8
7040,2
7050,8
7060,1
7070,54
7080,26
7090,0
7100,3
7110,61
7120,0
7130,16
7140,19
7150,63
7160,2
7170,17
7180,8
7190,1
7200,0
7210,17
7220,8
7230,4
7240,36
7250,1
7260,11
7270,33
7280,1
7290,17
7300,2
7310,4
7320,16
7330,4
7340,11
7350,1
7360,20
7370,0
7380,8
7390,0
7400,27
7410,0
7420,2
7430,14
7440,24
7450,7
7460,4
7470,5
7480,45
7490,23
7500,1
7510,12
7520,49
7530,0
7540,2
7550,2
7560,11
7570,37
7580,0
7590,10
7600,20
7610,4
7620,42
7630,1
7640,38
7650,19
7660,12
7670,21
7680,32
7690,17
7700,25
7710,2
7720,5
7730,16
7740,11
7750,8
7760,14
7770,5
7780,6
7790,4
7800,3
7810,12
7820,35
7830,25
7840,26
7850,17
7860,50
7870,32
7880,5
7890,4
7900,22
7910,22
7920,12
7930,0
7940,4
7950,0
7960,14
7970,0
7980,12
7990,0
8000,0
8010,39
8020,24
8030,12
8040,20
8050,12
8060,2
8070,13
8080,1
8090,20
8100,0
8110,26
8120,1
8130,1
8140,14
8150,3
8160,28
8170,15
8180,12
8190,33
8200,22
8210,5
8220,10
8230,4
8240,4
8250,2
8260,67
8270,17
8280,12
8290,8
8300,18
8310,27
8320,4
8330,6
8340,6
8350,2
8360,3
8370,27
8380,18
8390,1
8400,9
8410,22
8420,72
8430,9
8440,12
8450,6
8460,18
8470,5
8480,1
8490,16
8500,6
8510,5
8520,1
8530,0
8540,6
8550,20
8560,6
8570,5
8580,28
8590,4
8600,24
8610,26
8620,2
8630,2
8640,20
8650,11
8660,3
8670,4
8680,5
8690,13
8700,1829
8710,3
8720,7
8730,1
8740,28
8750,13
8760,33
8770,0
8780,12
8790,8
8800,20
8810,6
8820,74
8830,22
8840,10
8850,15
8860,26
8870,11
8880,8
8890,11
8900,5
8910,15
8920,11
8930,9
8940,3
8950,22
8960,2
8970,32
8980,11
8990,16
9000,17
9010,12
9020,31
9030,4
9040,17
9050,82
9060,0
9070,12
9080,12
9090,33
9100,8
9110,12
9120,9
9130,2
9140,10
9150,27
9160,46
9170,41
9180,2
9190,8
9200,15
9210,0
9220,3
9230,17
9240,14
9250,58
9260,18
9270,2
9280,6
9290,3
9300,16
9310,20
9320,9
9330,34
9340,7
9350,8
9360,5
9370,4
9380,29
9390,19
9400,8
9410,24
9420,38
9430,1
9440,36
9450,15
9460,63
9470,13
9480,0
9490,6
9500,16
9510,2
9520,4
9530,58
9540,36
9550,8
9560,5
9570,0
9580,63
9590,3
9600,39
9610,4
9620,15
9630,0
9640,9
9650,8
9660,102
9670,18
9680,4
9690,1
9700,8
9710,0
9720,2
9730,1
9740,0
9750,26
9760,1
9770,4
9780,1
9790,4
9800,1
9810,44
9820,9
9830,8
9840,3
9850,4
9860,1
9870,19
9880,8
9890,23
9900,8
9910,8
9920,18
9930,12
9940,14
9950,4
9960,1
9970,22
9980,27
9990,55
10000,2
10010,13
10020,1
10030,30
10040,24
10050,8
10060,3
10070,0
10080,1
10090,15
10100,0
10110,23
10120,11
10130,36
10140,51
10150,5
10160,26
10170,16
10180,36
10190,46
10200,9
10210,12
10220,18
10230,14
10240,29
10250,4
10260,33
10270,25
10280,17
10290,8
10300,39
10310,2
10320,3
10330,24
10340,3
10350,54
10360,0
10370,9
10380,3
10390,91
10400,99
10410,5
10420,4
10430,15
10440,3
10450,4
10460,15
10470,53
10480,8
10490,17
10500,33
10510,6
10520,46
10530,44
10540,24
10550,32
10560,18
10570,0
10580,24
10590,19
10600,11
10610,28
10620,5
10630,43
10640,1
10650,11
10660,18
10670,1
10680,37
10690,14
10700,38
10710,18
10720,55
10730,2
10740,29
10750,12
10760,64
10770,8
10780,7
10790,74
10800,1
10810,17
10820,0
10830,69
10840,3
10850,25
10860,22
10870,32
10880,101
10890,3
10900,51
10910,8
10920,37
10930,1
10940,0
10950,18
10960,54
10970,23
10980,20
10990,32
11000,20
11010,31
11020,2
11030,51
11040,53
11050,23
11060,0
11070,19
11080,22
11090,73
11100,6
11110,2
11120,4
11130,6
11140,52
11150,14
11160,52
11170,29
11180,24
11190,8
11200,12
11210,9
11220,48
11230,9
11240,2
11250,4
11260,8
11270,4
11280,32
11290,16
11300,7
11310,26
11320,34
11330,15
11340,67
11350,19
11360,43
11370,4
11380,14
11390,14
11400,31
11410,22
11420,93
11430,38
11440,12
11450,18
11460,1
11470,24
11480,5
11490,43
11500,17
11510,49
11520,27
11530,39
11540,14
11550,8
11560,21
11570,22
11580,61
11590,64
11600,2
